"","subject","activity_label","variable","value"
"92",16,"SITTING","tBodyAcc.mean...X",0.280768574492754
"93",16,"STANDING","tBodyAcc.mean...X",0.283497402948718
"94",16,"WALKING","tBodyAcc.mean...X",0.276023564509804
"95",16,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.295586802191489
"96",16,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.255986102627451
"97",17,"LAYING","tBodyAcc.mean...X",0.269780085577465
"98",17,"SITTING","tBodyAcc.mean...X",0.2773570196875
"99",17,"STANDING","tBodyAcc.mean...X",0.277942503333333
"100",17,"WALKING","tBodyAcc.mean...X",0.272341855245902
"101",17,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.29391828326087
"102",17,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.252604768583333
"103",18,"LAYING","tBodyAcc.mean...X",0.274691576923077
"104",18,"SITTING","tBodyAcc.mean...X",0.27727001877193
"105",18,"STANDING","tBodyAcc.mean...X",0.278458805890411
"106",18,"WALKING","tBodyAcc.mean...X",0.273887758571429
"107",18,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.288439468909091
"108",18,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.265401201896552
"109",19,"LAYING","tBodyAcc.mean...X",0.272653733493976
"110",19,"SITTING","tBodyAcc.mean...X",0.273830316164384
"111",19,"STANDING","tBodyAcc.mean...X",0.27817226
"112",19,"WALKING","tBodyAcc.mean...X",0.273931172307692
"113",19,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.262688053871795
"114",19,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.242118808925
"115",20,"LAYING","tBodyAcc.mean...X",0.239507882205882
"116",20,"SITTING","tBodyAcc.mean...X",0.278045439090909
"117",20,"STANDING","tBodyAcc.mean...X",0.278076904657534
"118",20,"WALKING","tBodyAcc.mean...X",0.272589336470588
"119",20,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.296144421355556
"120",20,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.252098317156863
"121",21,"LAYING","tBodyAcc.mean...X",0.271325472455556
"122",21,"SITTING","tBodyAcc.mean...X",0.277539616823529
"123",21,"STANDING","tBodyAcc.mean...X",0.27695224258427
"124",21,"WALKING","tBodyAcc.mean...X",0.279183526730769
"125",21,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.3014610196
"126",21,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.265194544680851
"127",22,"LAYING","tBodyAcc.mean...X",0.279959721194444
"128",22,"SITTING","tBodyAcc.mean...X",0.273583822709677
"129",22,"STANDING","tBodyAcc.mean...X",0.279053861587302
"130",22,"WALKING","tBodyAcc.mean...X",0.27886459
"131",22,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.284458963861111
"132",22,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.248391534566667
"133",23,"LAYING","tBodyAcc.mean...X",0.274038007986111
"134",23,"SITTING","tBodyAcc.mean...X",0.273351251617647
"135",23,"STANDING","tBodyAcc.mean...X",0.277899323235294
"136",23,"WALKING","tBodyAcc.mean...X",0.273211884237288
"137",23,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.289897411148148
"138",23,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.249995171031373
"139",24,"LAYING","tBodyAcc.mean...X",0.272850494930556
"140",24,"SITTING","tBodyAcc.mean...X",0.273475690147059
"141",24,"STANDING","tBodyAcc.mean...X",0.280348883913043
"142",24,"WALKING","tBodyAcc.mean...X",0.276980816034483
"143",24,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.288631208909091
"144",24,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.269881106779661
"145",25,"LAYING","tBodyAcc.mean...X",0.250791828613699
"146",25,"SITTING","tBodyAcc.mean...X",0.278541482461538
"147",25,"STANDING","tBodyAcc.mean...X",0.278013701621622
"148",25,"WALKING","tBodyAcc.mean...X",0.278992759054054
"149",25,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.291329666206897
"150",25,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.277995411384615
"151",26,"LAYING","tBodyAcc.mean...X",0.271645864540789
"152",26,"SITTING","tBodyAcc.mean...X",0.258243530166667
"153",26,"STANDING","tBodyAcc.mean...X",0.281127035405405
"154",26,"WALKING","tBodyAcc.mean...X",0.279264443728814
"155",26,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.2792845828
"156",26,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.272691394545455
"157",27,"LAYING","tBodyAcc.mean...X",0.274102492432432
"158",27,"SITTING","tBodyAcc.mean...X",0.273941302571429
"159",27,"STANDING","tBodyAcc.mean...X",0.279566921625
"160",27,"WALKING","tBodyAcc.mean...X",0.276849485438596
"161",27,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.2975441875
"162",27,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.265770253921569
"163",28,"LAYING","tBodyAcc.mean...X",0.2759134825
"164",28,"SITTING","tBodyAcc.mean...X",0.276977629444444
"165",28,"STANDING","tBodyAcc.mean...X",0.277795069113924
"166",28,"WALKING","tBodyAcc.mean...X",0.281228223888889
"167",28,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.293642076521739
"168",28,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.262005841764706
"169",29,"LAYING","tBodyAcc.mean...X",0.287295196811594
"170",29,"SITTING","tBodyAcc.mean...X",0.2771799775
"171",29,"STANDING","tBodyAcc.mean...X",0.277965065846154
"172",29,"WALKING","tBodyAcc.mean...X",0.271999916792453
"173",29,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.293140441083333
"174",29,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.265423066877551
"175",30,"LAYING","tBodyAcc.mean...X",0.281033900571429
"176",30,"SITTING","tBodyAcc.mean...X",0.268336081379032
"177",30,"STANDING","tBodyAcc.mean...X",0.277112699152542
"178",30,"WALKING","tBodyAcc.mean...X",0.276406758
"179",30,"WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.283190646967742
"180",30,"WALKING_UPSTAIRS","tBodyAcc.mean...X",0.271415642261538
"181",1,"LAYING","tBodyAcc.mean...Y",-0.0405139534294
"182",1,"SITTING","tBodyAcc.mean...Y",-0.00130828765170213
"183",1,"STANDING","tBodyAcc.mean...Y",-0.0161375901037736
"184",1,"WALKING","tBodyAcc.mean...Y",-0.0173838185273684
"185",1,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.00991850461020408
"186",1,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0239531492643396
"187",2,"LAYING","tBodyAcc.mean...Y",-0.0181587397583333
"188",2,"SITTING","tBodyAcc.mean...Y",-0.0156879937282609
"189",2,"STANDING","tBodyAcc.mean...Y",-0.0184208270166667
"190",2,"WALKING","tBodyAcc.mean...Y",-0.0185949199145763
"191",2,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0226614158361702
"192",2,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0214121132045833
"193",3,"LAYING","tBodyAcc.mean...Y",-0.0189556785048387
"194",3,"SITTING","tBodyAcc.mean...Y",-0.00350299841730769
"195",3,"STANDING","tBodyAcc.mean...Y",-0.0143376555065574
"196",3,"WALKING","tBodyAcc.mean...Y",-0.0171767844203448
"197",3,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0193554079328571
"198",3,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0324109410555932
"199",4,"LAYING","tBodyAcc.mean...Y",-0.0150031841055556
"200",4,"SITTING","tBodyAcc.mean...Y",-0.007163065158
"201",4,"STANDING","tBodyAcc.mean...Y",-0.00948911098553571
"202",4,"WALKING","tBodyAcc.mean...Y",-0.0148399475341667
"203",4,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.00980200850666667
"204",4,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0319804295729615
"205",5,"LAYING","tBodyAcc.mean...Y",-0.0183042123269231
"206",5,"SITTING","tBodyAcc.mean...Y",-0.00990083527045455
"207",5,"STANDING","tBodyAcc.mean...Y",-0.00700418554517857
"208",5,"WALKING","tBodyAcc.mean...Y",-0.0172850317482679
"209",5,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.00850107533191489
"210",5,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0325269755153191
"211",6,"LAYING","tBodyAcc.mean...Y",-0.0102529170561404
"212",6,"SITTING","tBodyAcc.mean...Y",-0.0145911615290909
"213",6,"STANDING","tBodyAcc.mean...Y",-0.0181236327175439
"214",6,"WALKING","tBodyAcc.mean...Y",-0.0168954189082456
"215",6,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.019536840063125
"216",6,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0272425385070588
"217",7,"LAYING","tBodyAcc.mean...Y",-0.0204411516884615
"218",7,"SITTING","tBodyAcc.mean...Y",-0.01461097580375
"219",7,"STANDING","tBodyAcc.mean...Y",-0.0145740341037736
"220",7,"WALKING","tBodyAcc.mean...Y",-0.018653665345614
"221",7,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0166332372978723
"222",7,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0275639005607843
"223",8,"LAYING","tBodyAcc.mean...Y",-0.0212281733881481
"224",8,"SITTING","tBodyAcc.mean...Y",-0.00672550621304348
"225",8,"STANDING","tBodyAcc.mean...Y",-0.0148113067148148
"226",8,"WALKING","tBodyAcc.mean...Y",-0.0186628865310417
"227",8,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0211058674973684
"228",8,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0282415136341463
"229",9,"LAYING","tBodyAcc.mean...Y",-0.020526821662
"230",9,"SITTING","tBodyAcc.mean...Y",-0.02701677698
"231",9,"STANDING","tBodyAcc.mean...Y",-0.0200454954022222
"232",9,"WALKING","tBodyAcc.mean...Y",-0.0180891971284423
"233",9,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0203994269075476
"234",9,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0195101099975714
"235",10,"LAYING","tBodyAcc.mean...Y",-0.024294484137931
"236",10,"SITTING","tBodyAcc.mean...Y",-0.015042681852037
"237",10,"STANDING","tBodyAcc.mean...Y",-0.0155418603409091
"238",10,"WALKING","tBodyAcc.mean...Y",-0.017022351190566
"239",10,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0200050770710526
"240",10,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0143854920340426
"241",11,"LAYING","tBodyAcc.mean...Y",-0.0176598052315789
"242",11,"SITTING","tBodyAcc.mean...Y",-0.0149195616754717
"243",11,"STANDING","tBodyAcc.mean...Y",-0.0171990886595745
"244",11,"WALKING","tBodyAcc.mean...Y",-0.0166475833623729
"245",11,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0178097721219565
"246",11,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0303157822055556
"247",12,"LAYING","tBodyAcc.mean...Y",-0.0175203917146667
"248",12,"SITTING","tBodyAcc.mean...Y",-0.0157892988523529
"249",12,"STANDING","tBodyAcc.mean...Y",-0.0169002543196721
"250",12,"WALKING","tBodyAcc.mean...Y",-0.015560927606
"251",12,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.018084266865793
"252",12,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0263574903403846
"253",13,"LAYING","tBodyAcc.mean...Y",-0.020440454366129
"254",13,"SITTING","tBodyAcc.mean...Y",-0.00587732936326531
"255",13,"STANDING","tBodyAcc.mean...Y",-0.0167891993964912
"256",13,"WALKING","tBodyAcc.mean...Y",-0.0185660651947368
"257",13,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0143723839108511
"258",13,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0277392253910909
"259",14,"LAYING","tBodyAcc.mean...Y",-0.0113424652490196
"260",14,"SITTING","tBodyAcc.mean...Y",-0.00870565463888889
"261",14,"STANDING","tBodyAcc.mean...Y",-0.01520781344
"262",14,"WALKING","tBodyAcc.mean...Y",-0.0217785380966102
"263",14,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0200141413657778
"264",14,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0204388180024074
"265",15,"LAYING","tBodyAcc.mean...Y",-0.0166296542054167
"266",15,"SITTING","tBodyAcc.mean...Y",-0.0117188472271186
"267",15,"STANDING","tBodyAcc.mean...Y",-0.0183516360396226
"268",15,"WALKING","tBodyAcc.mean...Y",-0.0170809740090741
"269",15,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.00563047804309524
"270",15,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0287523860708333
"271",16,"LAYING","tBodyAcc.mean...Y",-0.0166103510562857
"272",16,"SITTING","tBodyAcc.mean...Y",-0.0102497939956522
"273",16,"STANDING","tBodyAcc.mean...Y",-0.0165999672935897
"274",16,"WALKING","tBodyAcc.mean...Y",-0.0204286929452941
"275",16,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0183898583787234
"276",16,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0143654945011765
"277",17,"LAYING","tBodyAcc.mean...Y",-0.0168462006729577
"278",17,"SITTING","tBodyAcc.mean...Y",-0.014156274084375
"279",17,"STANDING","tBodyAcc.mean...Y",-0.0174120064169231
"280",17,"WALKING","tBodyAcc.mean...Y",-0.0184875403339344
"281",17,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0167359404347826
"282",17,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0228645614308333
"283",18,"LAYING","tBodyAcc.mean...Y",-0.0173937684615385
"284",18,"SITTING","tBodyAcc.mean...Y",-0.0128691279736842
"285",18,"STANDING","tBodyAcc.mean...Y",-0.0166353518150685
"286",18,"WALKING","tBodyAcc.mean...Y",-0.0178023631866071
"287",18,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0168666920221818
"288",18,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0222060684378914
"289",19,"LAYING","tBodyAcc.mean...Y",-0.0171426864421687
"290",19,"SITTING","tBodyAcc.mean...Y",-0.016739260030137
"291",19,"STANDING","tBodyAcc.mean...Y",-0.0154244056945205
"292",19,"WALKING","tBodyAcc.mean...Y",-0.0191773587903846
"293",19,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0145942275069487
"294",19,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0303986615775
"295",20,"LAYING","tBodyAcc.mean...Y",-0.0144406281132353
"296",20,"SITTING","tBodyAcc.mean...Y",-0.0147229305131818
"297",20,"STANDING","tBodyAcc.mean...Y",-0.0180695049161644
"298",20,"WALKING","tBodyAcc.mean...Y",-0.021199992245098
"299",20,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.00964120773155556
"300",20,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0282258047588235
"301",21,"LAYING","tBodyAcc.mean...Y",-0.0184233048415556
"302",21,"SITTING","tBodyAcc.mean...Y",-0.0144009705494118
"303",21,"STANDING","tBodyAcc.mean...Y",-0.0167084730205618
"304",21,"WALKING","tBodyAcc.mean...Y",-0.0181610317526923
"305",21,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0173195390157778
"306",21,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0237218695148936
"307",22,"LAYING","tBodyAcc.mean...Y",-0.0142629864502778
"308",22,"SITTING","tBodyAcc.mean...Y",-0.0123468446419355
"309",22,"STANDING","tBodyAcc.mean...Y",-0.0158563207496825
"310",22,"WALKING","tBodyAcc.mean...Y",-0.0167213607957174
"311",22,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0197999371686389
"312",22,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0268622561133333
"313",23,"LAYING","tBodyAcc.mean...Y",-0.0216553835833333
"314",23,"SITTING","tBodyAcc.mean...Y",-0.0133945015676471
"315",23,"STANDING","tBodyAcc.mean...Y",-0.0177475547867647
"316",23,"WALKING","tBodyAcc.mean...Y",-0.0183618711932203
"317",23,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0162111457238889
"318",23,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0323844029237255
"319",24,"LAYING","tBodyAcc.mean...Y",-0.0173555210111111
"320",24,"SITTING","tBodyAcc.mean...Y",-0.0131255097938235
"321",24,"STANDING","tBodyAcc.mean...Y",-0.0144785340348986
"322",24,"WALKING","tBodyAcc.mean...Y",-0.0225446400534483
"323",24,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0145730348310909
"324",24,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0251979434569492
"325",25,"LAYING","tBodyAcc.mean...Y",-0.0188943663671233
"326",25,"SITTING","tBodyAcc.mean...Y",-0.0147696808030769
"327",25,"STANDING","tBodyAcc.mean...Y",-0.0163569730274324
"328",25,"WALKING","tBodyAcc.mean...Y",-0.0186477624716216
"329",25,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0210170522987931
"330",25,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0269863524264615
"331",26,"LAYING","tBodyAcc.mean...Y",-0.0191895728026316
"332",26,"SITTING","tBodyAcc.mean...Y",-0.00713364541358974
"333",26,"STANDING","tBodyAcc.mean...Y",-0.0166608306652703
"334",26,"WALKING","tBodyAcc.mean...Y",-0.0154259586949153
"335",26,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.01262580966778
"336",26,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0281633797398182
"337",27,"LAYING","tBodyAcc.mean...Y",-0.0179867611216216
"338",27,"SITTING","tBodyAcc.mean...Y",-0.0155269799285714
"339",27,"STANDING","tBodyAcc.mean...Y",-0.016593236445
"340",27,"WALKING","tBodyAcc.mean...Y",-0.0166478783221912
"341",27,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0135564467159091
"342",27,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0200953324078431
"343",28,"LAYING","tBodyAcc.mean...Y",-0.0167537858225
"344",28,"SITTING","tBodyAcc.mean...Y",-0.0185404441258333
"345",28,"STANDING","tBodyAcc.mean...Y",-0.0172635124672152
"346",28,"WALKING","tBodyAcc.mean...Y",-0.0156759722981481
"347",28,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0220230465913043
"348",28,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0279443943478431
"349",29,"LAYING","tBodyAcc.mean...Y",-0.0171965484202899
"350",29,"SITTING","tBodyAcc.mean...Y",-0.016630680375
"351",29,"STANDING","tBodyAcc.mean...Y",-0.0172605869061538
"352",29,"WALKING","tBodyAcc.mean...Y",-0.0162915600588679
"353",29,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.01494121505625
"354",29,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0299465312326531
"355",30,"LAYING","tBodyAcc.mean...Y",-0.0194494098614286
"356",30,"SITTING","tBodyAcc.mean...Y",-0.00804731295322581
"357",30,"STANDING","tBodyAcc.mean...Y",-0.0170163887813559
"358",30,"WALKING","tBodyAcc.mean...Y",-0.0175880385730769
"359",30,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0174383900204839
"360",30,"WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0253311698786154
"361",1,"LAYING","tBodyAcc.mean...Z",-0.11320355358
"362",1,"SITTING","tBodyAcc.mean...Z",-0.104544182255319
"363",1,"STANDING","tBodyAcc.mean...Z",-0.110601817735849
"364",1,"WALKING","tBodyAcc.mean...Z",-0.111148103547368
"365",1,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Z",-0.107566190908163
"366",1,"WALKING_UPSTAIRS","tBodyAcc.mean...Z",-0.0973020020943396
"367",2,"LAYING","tBodyAcc.mean...Z",-0.107245610416667
"368",2,"SITTING","tBodyAcc.mean...Z",-0.109218272456522
"369",2,"STANDING","tBodyAcc.mean...Z",-0.105908536055556
"370",2,"WALKING","tBodyAcc.mean...Z",-0.105500357966102
"371",2,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Z",-0.116812942382979
"372",2,"WALKING_UPSTAIRS","tBodyAcc.mean...Z",-0.152513899520833
"373",3,"LAYING","tBodyAcc.mean...Z",-0.101300477506452
"374",3,"SITTING","tBodyAcc.mean...Z",-0.0983579203269231
"375",3,"STANDING","tBodyAcc.mean...Z",-0.101621722633148
"376",3,"WALKING","tBodyAcc.mean...Z",-0.112674859827586
"377",3,"WALKING_DOWNSTAIRS","tBodyAcc.mean...Z",-0.116139842908163
"378",3,"WALKING_UPSTAIRS","tBodyAcc.mean...Z",-0.110064863437288
"379",4,"LAYING","tBodyAcc.mean...Z",-0.110688150314815
"380",4,"SITTING","tBodyAcc.mean...Z",-0.10587459588
